name,id,numeric_id,variant_group,sort_order,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,pax_special,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,gameplay_text,brake_text,additional_text,has_aged_variant
Early passenger carriage,early_carriage,4,,1001,FEAT_TRAINS,wagon,carriage,PLATEWAY,1700,,1870,,,,,,,,,,,8,,3,,,45,72,,,8,8,,,18,82x0x0,5,,"2,1,2",,,,,,,,,,30,178,10,10,9,0,0,1.00,3,1.2,0.6,21,42,"$1,313",$115,,,,,,,,,10,185,,Passengers,PASS,early,Carriage,early_Carriage,carriage_PLATEWAY,{BLACK}Length: {GOLD}0.4 tiles{},,,"The first enclosed passenger carriages were adapted from stagecoach bodies, with wooden frames.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}The first enclosed passenger carriages were adapted from stagecoach bodies, with wooden frames.",
Four-wheel carriage,four_wheel_carriage,6,,1002,FEAT_TRAINS,wagon,carriage,RAIL,1855,,1900,,,,,,,,,,,18,,4,,,65,104,,,10,10,,,24,102x0x0,6,,"2,2,2",,,,,,,,,,30,53,35,42,13,0,0,1.00,4,1.2,0.6,57,73,"$3,563",$199,,,,,,,,,10,185,,Passengers,PASS,vct,Carriage,vct_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"Railway carriages from the 1850s to 1870s tended to be built on wooden or wrought iron frames of around 20-24ft in length, with oil lighting internally.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Railway carriages from the 1850s to 1870s tended to be built on wooden or wrought iron frames of around 20-24ft in length, with oil lighting internally.",
Six-wheel carriage,six_wheel_carriage,8,,1003,FEAT_TRAINS,wagon,carriage,RAIL,1875,,1915,,,,,,,,,,,21,,4,,,75,120,,,12,12,,,30,120x0x0,7,,"2,3,2",,,,,,,,,,30,48,58,48,15,0,0,1.00,5,1.2,0.6,65,100,"$4,063",$273,,,,,,,,,11,185,,Passengers,PASS,vct,Carriage,vct_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},,,"After early experiments for royal saloons, smoother and faster-running six wheel carriages with then-modern fixtures such as gas lighting became common from the 1870s, displacing older four wheeled stock to smaller suburban lines.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}After early experiments for royal saloons, smoother and faster-running six wheel carriages with then-modern fixtures such as gas lighting became common from the 1870s, displacing older four wheeled stock to smaller suburban lines.",
"""Padded Cell"" carriage",padded_cell,9,,1004,FEAT_TRAINS,wagon,carriage,FOURTH_RAIL,1889,,1924,,,,,,,,,,,15,,7,,,30,48,,,14,14,,,66,136x0x0,8,,"2,4,2",,,,,,,,,,30,43,41,20,6,0,0,1.00,11,1.2,0.6,35,79,"$2,188",$216,,,,,,,,,1,120,,Passengers,PASS,vct,Carriage,vct_Carriage,carriage_FOURTH_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},,,"Early Tube carriages were nicknamed ""Padded Cell"" due to their tall cushion-backed seats and small windows.",,{YELLOW}35% penalty for long distance travel{},"{BLACK}Length: {GOLD}0.5 tiles{}{YELLOW}35% penalty for long distance travel{}{SILVER}Early Tube carriages were nicknamed ""Padded Cell"" due to their tall cushion-backed seats and small windows.",
Clerestory carriage,clerestory_carriage,10,,1005,FEAT_TRAINS,wagon,carriage,RAIL,1892,,1935,,,,,,,,,,,28,,4,,,90,144,,,16.2,16.2,2.8,,42,152x42x0,9,,"2,5,2",,,,,,,,,,30,51,69,57,18,0,0,1.00,7,1.2,0.6,77,117,"$4,813",$319,,,,,,,,,1,185,,Passengers,PASS,vct,Carriage,vct_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"Toward the end of the Victorian era, passenger carriages began to be mounted on bogies rather than fixed axles. Many featured clerestory-style roofs.",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}Toward the end of the Victorian era, passenger carriages began to be mounted on bogies rather than fixed axles. Many featured clerestory-style roofs.",
Passenger Carriage,passenger_coach_lnwr,12,,1006,FEAT_TRAINS,wagon,carriage,RAIL,1904,,1955,,,,,,,,,,,34,,5,,,100,160,,,17.7,17.7,2.83,3.79,48,164x42x56,10,,"4,2,4",,,,,,,,,,30,59,72,60,20,0,0,0.99,8,1.2,0.6,82,123,"$5,125",$336,,,,,,,,,1,185,,Passengers,PASS,edw,Carriage,edw_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},,,In the early 20th century passenger coaches were stretched to greater lengths. This is a typical LNWR design.,,,{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}In the early 20th century passenger coaches were stretched to greater lengths. This is a typical LNWR design.,
Pullman carriage,passenger_coach_pullman,14,,1007,FEAT_TRAINS,wagon,luxury_carriage,RAIL,1928,,1970,,,,,,,,,,,40,,4,,,105,168,,,20,20,,,48,198x0x0,12,,"4,4,4",,,,,,,,,,30,50,93,78,21,0,0,0.96,8,1.5,0.7,104,156,"$6,500",$426,,,,,,,,,1,260,,Passengers,PASS,big4,Carriage,big4_Carriage,luxury_carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"The luxurious Pullman cars were large and heavy, with many still in use today for restaurant services.",,{YELLOW}40% bonus for long distance travel{},"{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}40% bonus for long distance travel{}{SILVER}The luxurious Pullman cars were large and heavy, with many still in use today for restaurant services.",
Streamlined Passenger Carriage,passenger_coach_streamlined,15,,1008,FEAT_TRAINS,wagon,luxury_carriage,RAIL,1931,,1965,,,,,,,,,,,36,,5,,,130,208,,,17.7,17.7,2.83,3.79,45,164x42x56,10,,"4,2,4",,,,,,,,,passenger_coach_streamlined_obs_car,30,42,102,93,26,0,0,0.96,7.5,1.5,0.7,123,171,"$7,688",$467,,,,,,,,,1,222,,Passengers,PASS,big4,Carriage,big4_Carriage,luxury_carriage_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},,,"As express services increased in speed, carriages were streamlined with valances between bogies and flexible walls connecting each carriage.",,{YELLOW}20% bonus for long distance travel{},"{BLACK}Length: {GOLD}0.7 tiles{}{YELLOW}20% bonus for long distance travel{}{SILVER}As express services increased in speed, carriages were streamlined with valances between bogies and flexible walls connecting each carriage.",
BR Mk1 carriage (TSO),passenger_coach_mk1,753,,1009,FEAT_TRAINS,wagon,carriage,RAIL,1951,1963,1974,,,,,,,,,,,32.5,,5,,,100,160,,,19.3,20,,,63,198x0x0,12,,"4,4,4",,,,,,,,,,30,31,76,69,20,0,0,0.93,10.5,1.2,0.6,92,126,"$5,750",$344,,,,,,,,,1,185,,Passengers,PASS,ebr,Carriage,ebr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"The Mk1 carriage combined best practice from the different Big Four carriage designs into a single standard design that could be used across the BR network. TSO (Tourist Second/Standard Open) was a common type, with 2+2 seating in an open saloon.",,,"{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The Mk1 carriage combined best practice from the different Big Four carriage designs into a single standard design that could be used across the BR network. TSO (Tourist Second/Standard Open) was a common type, with 2+2 seating in an open saloon.",
BR Mk1 carriage (FO),passenger_coach_mk1_fo,754,753,1010,FEAT_TRAINS,wagon,carriage,RAIL,1951,1963,1974,,,,,,,,,,,32.5,,5,,,100,160,,,19.3,20,,,42,198x0x0,12,,"4,4,4",,,,,,,,,,30,31,126,90,20,0,0,0.93,7,1.2,0.6,110,172,"$6,875",$470,,,,,,,,,1,222,first,Passengers,PASS,ebr,Carriage,ebr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,Mk1 FO (First Open) carriages had wider and more luxurious seating in a 2+1 arrangement in an open saloon.,,{YELLOW}20% bonus for long distance travel{},{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}20% bonus for long distance travel{}{SILVER}Mk1 FO (First Open) carriages had wider and more luxurious seating in a 2+1 arrangement in an open saloon.,
BR Mk1 carriage (SK),passenger_coach_mk1_sk,755,753,1011,FEAT_TRAINS,wagon,carriage,RAIL,1951,1963,1974,,,,,,,,,,,32.5,,4,,,100,160,,,19.3,20,,,48,198x0x0,12,,"4,4,4",,,,,,,,,,30,31,76,69,20,0,0,0.93,8,1.2,0.6,90,124,"$5,625",$339,,,,,,,,,1,195,,Passengers,PASS,ebr,Carriage,ebr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"Mk1 SK (Second/Standard Corridor) carriages were divided into 8 compartments, accessed by a gangway along one side of the carriage. This was the most common of all Mk1 carriage types.",,{YELLOW}5% bonus for long distance travel{},"{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}5% bonus for long distance travel{}{SILVER}Mk1 SK (Second/Standard Corridor) carriages were divided into 8 compartments, accessed by a gangway along one side of the carriage. This was the most common of all Mk1 carriage types.",
BR Mk1 carriage (FK),passenger_coach_mk1_fk,756,753,1012,FEAT_TRAINS,wagon,carriage,RAIL,1951,1963,1974,,,,,,,,,,,32.5,,4,,,100,160,,,19.3,20,,,42,198x0x0,12,,"4,4,4",,,,,,,,,,30,31,126,90,20,0,0,0.93,7,1.2,0.6,110,172,"$6,875",$470,,,,,,,,,1,232,first,Passengers,PASS,ebr,Carriage,ebr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"MK1 FK (First Corridor) carriages were divided into 7 compartments, larger and more luxurious than the SK carriages.",,{YELLOW}25% bonus for long distance travel{},"{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}25% bonus for long distance travel{}{SILVER}MK1 FK (First Corridor) carriages were divided into 7 compartments, larger and more luxurious than the SK carriages.",
BR Mk1 carriage (RMB),passenger_coach_mk1_rmb,757,753,1013,FEAT_TRAINS,wagon,carriage,RAIL,1957,1963,1974,,,,,,,,,,,35,,4,,,100,160,,,19.3,20,,,42,198x0x0,12,,"4,4,4",,,,,,,,,,30,25,1150,150,20,0,0,0.92,7,1.2,0.6,170,1196,"$10,625","$3,265",,,,,,,,,1,185,buffet,Passengers,PASS,dsl,Carriage,dsl_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,The Mk1 RMB (Restaurant Mini Buffet) is a TSO carriage in which some of the seating rows have been replaced with a small buffet service restaurant.,,{YELLOW}25% long distance bonus for consist{},{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}25% long distance bonus for consist{}{SILVER}The Mk1 RMB (Restaurant Mini Buffet) is a TSO carriage in which some of the seating rows have been replaced with a small buffet service restaurant.,
"BR Mk1 carriage (RMB, alternate livery)",passenger_coach_mk1_rmb_alt,758,757,1014,FEAT_TRAINS,wagon,carriage,RAIL,1957,1963,1974,,,,,,,,,,,35,,4,,,100,160,,,19.3,20,,,42,198x0x0,12,,"4,4,4",,,,,,,,,,30,25,1150,150,20,0,0,0.92,7,1.2,0.6,170,1196,"$10,625","$3,265",,,,,,,,,1,185,buffet,Passengers,PASS,dsl,Carriage,dsl_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,The Mk1 RMB (Restaurant Mini Buffet) is a TSO carriage in which some of the seating rows have been replaced with a small buffet service restaurant. This version is in an alternate livery to match the corridor carriages.,,{YELLOW}25% long distance bonus for consist{},{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}25% long distance bonus for consist{}{SILVER}The Mk1 RMB (Restaurant Mini Buffet) is a TSO carriage in which some of the seating rows have been replaced with a small buffet service restaurant. This version is in an alternate livery to match the corridor carriages.,
BR Mk1 carriage,passenger_coach_mk1_legacy,16,753,1015,FEAT_TRAINS,wagon,carriage,RAIL,1951,1963,1974,,,,,,,,,,,32.5,,5,,,100,160,,,19.3,20,,,54,198x0x0,12,,"4,4,4",,,,,,,passenger_coach_mk1,,,30,31,76,69,20,0,0,0.93,9,1.2,0.6,91,125,"$5,688",$341,,,,,,,,0 == 1,1,185,,Passengers,PASS,ebr,Carriage,ebr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"The Mk1 carriage combined best practice from the different Big Four carriage designs into a single standard design that could be used across the BR network. TSO (Tourist Second/Standard Open) was a common type, with 2+2 seating in an open saloon.",,,"{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The Mk1 carriage combined best practice from the different Big Four carriage designs into a single standard design that could be used across the BR network. TSO (Tourist Second/Standard Open) was a common type, with 2+2 seating in an open saloon.",
BR Mk2 carriage (TSO),passenger_coach_mk2,759,,1016,FEAT_TRAINS,wagon,carriage,RAIL,1964,,2010,,,,,,,,,,,40,,5,,,110,176,,,19.66,19.66,2.83,3.79,63,198x42x56,12,,"4,4,4",,,,,,,,,,30,54,79,75,22,0,0,0.91,10.5,1.2,0.6,98,131,"$6,125",$358,,,,,,,,,1,185,,Passengers,PASS,dsl,Carriage,dsl_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"The Mk2 carriage is the second BR carriage design. It was built to be stronger than the Mk1, giving better corrosion resistance and being safer for passengers in an accident.",,,"{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The Mk2 carriage is the second BR carriage design. It was built to be stronger than the Mk1, giving better corrosion resistance and being safer for passengers in an accident.",
BR Mk2 carriage (FO),passenger_coach_mk2_fo,760,759,1017,FEAT_TRAINS,wagon,carriage,RAIL,1964,,2010,,,,,,,,,,,40,,5,,,110,176,,,19.66,19.66,2.83,3.79,42,198x42x56,12,,"4,4,4",,,,,,,,,,30,54,135,105,22,0,0,0.91,7,1.2,0.6,126,183,"$7,875",$500,,,,,,,,,1,222,first,Passengers,PASS,dsl,Carriage,dsl_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"Mk2 FO (First Open) carriages followed the Mk1 approach of having wider, more luxurious seating in an open saloon. BR preferred open interiors by this point, although a few corridor Mk2s were still built early on.",,{YELLOW}20% bonus for long distance travel{},"{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}20% bonus for long distance travel{}{SILVER}Mk2 FO (First Open) carriages followed the Mk1 approach of having wider, more luxurious seating in an open saloon. BR preferred open interiors by this point, although a few corridor Mk2s were still built early on.",
BR Mk2 carriage (FK),passenger_coach_mk2_fk,761,759,1018,FEAT_TRAINS,wagon,carriage,RAIL,1964,,2010,,,,,,,,,,,40,,4,,,110,176,,,19.66,19.66,2.83,3.79,42,198x42x56,12,,"4,4,4",,,,,,,,,,30,54,135,107,22,0,0,0.91,7,1.2,0.6,128,183,"$8,000",$500,,,,,,,,,1,232,first,Passengers,PASS,dsl,Carriage,dsl_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"A few Mk2 FK (First Corridor) carriages were built early in the model's life, featuring a similar 7 compartment design to the Mk1. Although BR did not build any SK carriages initially, later a few Mk2 FKs were adapted to standard class.",,{YELLOW}25% bonus for long distance travel{},"{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}25% bonus for long distance travel{}{SILVER}A few Mk2 FK (First Corridor) carriages were built early in the model's life, featuring a similar 7 compartment design to the Mk1. Although BR did not build any SK carriages initially, later a few Mk2 FKs were adapted to standard class.",
