name,id,numeric_id,sort_order,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,brake_text,additional_text,has_aged_variant
Non-corridor carriage,passenger_carriage_non_corridor,1061,1000,FEAT_TRAINS,wagon,carriage,RAIL,1906,,1955,,,,,,,,,,,31,,6,,,100,160,,,17.7,17.7,2.83,3.79,57,164x42x56,10,,"4,2,4",,,,,,,,,,30,57,72,60,20,0,0,0.99,9.5,1.2,0.6,83,124,"$5,188",$339,,,,,,,,,1,165,Passengers,PASS,edw,Carriage,edw_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},,,"Non-corridor carriages allow greater seating density, at the cost of passenger comfort.",{YELLOW}10% Penalty for long distance travel{},"{BLACK}Length: {GOLD}0.7 tiles{}{YELLOW}10% Penalty for long distance travel{}{SILVER}Non-corridor carriages allow greater seating density, at the cost of passenger comfort.",
BR Mk1 suburban carriage,passenger_coach_mk1_suburban,1521,1001,FEAT_TRAINS,wagon,carriage,RAIL,1952,1963,1977,,,,,,,,,,,30,,6,,,100,160,,,19.3,20,,,66,198x0x0,12,,"4,4,4",,,,,,,,,,30,33,76,69,20,0,0,0.93,11,1.2,0.6,92,127,"$5,750",$347,,,,,,,,,1,165,Passengers,PASS,ebr,Carriage,ebr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"BR built many suburban MK1 carriages with no gangways, although typically only one or two would be used per train across most of the country.",{YELLOW}10% Penalty for long distance travel{},"{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}10% Penalty for long distance travel{}{SILVER}BR built many suburban MK1 carriages with no gangways, although typically only one or two would be used per train across most of the country.",
BR Mk2F carriage,passenger_coach_mk2f,1731,1002,FEAT_TRAINS,wagon,carriage,RAIL,1973,,,,,,,,,,,,,40,,5,,,110,176,,,19.66,19.66,,,60,198x0x0,12,,"4,4,4",,,,,,,,,,30,,79,75,22,0,0,0.90,10,1.2,0.6,98,129,"$6,125",$352,,,,,,,,,1,,Passengers,PASS,lbr,Carriage,lbr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"The Mark 2F was the final development of the Mark 2 carriage, introducing many features which would be used on the Mark 3 Intercity carriages.",,"{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The Mark 2F was the final development of the Mark 2 carriage, introducing many features which would be used on the Mark 3 Intercity carriages.",
CAF Mk5A carriage,passenger_coach_mk5a,1172,1003,FEAT_TRAINS,wagon,carriage,RAIL,2017,,,,,,,,,,,,,40,,5,,,125,200,,,23,23,,,57,214x0x0,13,,"4,5,4",,,,,,,,,,30,,85,85,25,0,0,0.84,9.5,1.2,0.6,108,135,"$6,750",$369,,,,,,,,,1,222,Passengers,PASS,mod,Carriage,mod_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.9 tiles{},,,"The Mark 5A was built for loco-hauled services on the TransPennine Express, but was withdrawn barely four years after introduction.",{YELLOW}20% Bonus for long distance travel{},"{BLACK}Length: {GOLD}0.9 tiles{}{YELLOW}20% Bonus for long distance travel{}{SILVER}The Mark 5A was built for loco-hauled services on the TransPennine Express, but was withdrawn barely four years after introduction.",
Preserved Clerestory carriage,preserved_clerestory_carriage,1601,1004,FEAT_TRAINS,wagon,carriage,RAIL,1960,,,,,,,,,,,,,28,,4,,,25,40,,,16.2,16.2,2.8,,42,152x42x0,9,,"2,5,2",,,,,,,,,,30,,69,57,5,0,0,0.92,7,1.2,0.6,67,98,"$4,188",$268,,,,,,,,,1,74,NGPassengers,PASS,dsl,Carriage,dsl_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"The first standard gauge preservation railway in the UK was the Bluebell Railway, opened in 1960. Preservation lines are limited to 25mph.",{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{},"{BLACK}Length: {GOLD}0.6 tiles{}{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{}{SILVER}The first standard gauge preservation railway in the UK was the Bluebell Railway, opened in 1960. Preservation lines are limited to 25mph.",
Preserved BR Mk1 carriage,preserved_mk1_carriage,1751,1005,FEAT_TRAINS,wagon,carriage,RAIL,1979,,,,,,,,,,,,,32.5,,5,,,25,40,,,19.3,20,,,54,198x0x0,12,,"4,4,4",,,,,,,,,,30,,76,69,5,0,0,0.89,9,1.2,0.6,80,107,"$5,000",$292,,,,,,,,,1,74,NGPassengers,PASS,lbr,Carriage,lbr_Carriage,carriage_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,The ubiquity of the BR Mk1 carriage has made it a mainstay of preserved railways across the UK.,{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{},{BLACK}Length: {GOLD}0.8 tiles{}{YELLOW}Preserved railway bonus: passengers pay more when hauled by old locomotives{}{SILVER}The ubiquity of the BR Mk1 carriage has made it a mainstay of preserved railways across the UK.,
Torpedo car,torpedo_car,1691,1006,FEAT_TRAINS,wagon,wagon,RAIL,1969,,,,,,,,,,,,,160,,5,,,65,104,,,25,22,,,81,214x0x0,13,,"4,5,4",,,,,,,,,,30,,,,13,0,0,0.91,13.5,1,0.45,14,37,$875,$101,,,,,,,,,1,205,Torpedo,PASS,dsl,Extra,dsl_Extra,wagon_RAIL,{BLACK}Length: {GOLD}0.9 tiles{},,,"Torpedo cars haul molten metal directly from furnaces, meaning it does not have to be processed to an intermediate form and melted again.",{YELLOW}10% Bonus for long distance travel{},"{BLACK}Length: {GOLD}0.9 tiles{}{YELLOW}10% Bonus for long distance travel{}{SILVER}Torpedo cars haul molten metal directly from furnaces, meaning it does not have to be processed to an intermediate form and melted again.",
Forrester Single,forrester_single,341,1,FEAT_TRAINS,locomotive,steam,RAIL,1834,,1860,,85,,11,16,2,50,107,1.435,37.26287263,6,4,,15,0.15,35,56,,,,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,1,,29,34,-16,-8,7,0.425,0.75,1.00,0,1.15,1.7,18,35,"$14,063","$2,844",,,,,,,,,5,,,,early,Extra,early_Extra,steam_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},{BLACK}Powered by: {GOLD}Steam,,George Forrester and Company built the first passenger tank locomotive to enter service. They were supplied to multiple railways in both tank and tender forms.,,{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}George Forrester and Company built the first passenger tank locomotive to enter service. They were supplied to multiple railways in both tank and tender forms.,
"GWR 2-2-2 ""Star""",gwr_222_star,381,2,FEAT_TRAINS,locomotive,steam,RAIL,1841,,1871,,220,,16,16,2,140,104,2.1,215.4882155,11,,,16,0.15,50,80,,,8,8,,,0,82x0x0,5,star_tender,"2,1,2,1,2,1",,,,,,,,,,30,38,,,10,1.1,0.8,1.00,0,1.15,1.7,33,61,"$25,781","$4,956",,,,,,,,,3,,,,early,Express,early_Express,steam_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The first GWR Star class was typical of a 2-2-2 ""single"" passenger locomotive. They were given common names of stars, such as ""Dog Star"" and ""Shooting Star""",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}The first GWR Star class was typical of a 2-2-2 ""single"" passenger locomotive. They were given common names of stars, such as ""Dog Star"" and ""Shooting Star""",
"GWR 4-2-2 ""Iron Duke""",gwr_iron_duke,461,3,FEAT_TRAINS,locomotive,steam,RAIL,1847,,1884,,400,,21,26,2,115,140,2.43,668.0099607,42,,,35,0.08,78,125,,,9,9,,,0,82x0x0,5,iron_duke_tender,"2,1,2,1,2,1",,,,,,,,,,31,45,15,20,15.6,2,1.75,1.00,0,1.15,1.7,69,97,"$53,906","$7,881",,,,,,,,,7,,,,early,Express,early_Express,steam_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The Iron Duke class was powerful and very fast for its time. Although both leading axles were rigidly mounted, the wide curves and broad gauge of the GWR's track made this less of a problem.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}The Iron Duke class was powerful and very fast for its time. Although both leading axles were rigidly mounted, the wide curves and broad gauge of the GWR's track made this less of a problem.",
LNWR Precedent Class,lnwr_precedent,741,4,FEAT_TRAINS,locomotive,steam,RAIL,1874,,1923,,550,,17,24,2,140,155,1.981,541.5462041,34,30,,49,0.08,70,112,,,10,10,,,,102x0x0,6,lnwr_early_tender,"2,2,2,2,1,2",,,,,,,,1,,32,57,,,14,2.75,2.45,1.00,0,1.15,1.7,49,81,"$38,281","$6,581",,,,,,,,,7,,,,early,Express,early_Express,steam_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},{BLACK}Powered by: {GOLD}Steam,,"F.W. Webb's Precedent class was an express passenger locomotive. A large part of the class was given numbers and names of previously withdrawn locomotives, giving it a fragmented numbering scheme.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}F.W. Webb's Precedent class was an express passenger locomotive. A large part of the class was given numbers and names of previously withdrawn locomotives, giving it a fragmented numbering scheme.",
Midland Railway 156 Class,midland_156_class,661,5,FEAT_TRAINS,locomotive,steam,RAIL,1866,,1947,,500,,17,24,2,140,150,1.892,526.5191556,38,30,5,50,0.07,65,104,,,10,10,,,,102x0x0,6,midland_tender_old,"2,2,2,2,1,2",,,,,,,,1,,34,89,,,13,2.5,2.5,1.00,0,1.15,1.7,46,78,"$35,938","$6,338",,,,,,,,,9,,,,vct,Express,vct_Express,steam_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The Midland 156 class had a long career. It started as an express engine but as power outputs and speeds on the mainline increased it was relegated to increasingly minor duties, ending up being used on small branch lines.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}The Midland 156 class had a long career. It started as an express engine but as power outputs and speeds on the mainline increased it was relegated to increasingly minor duties, ending up being used on small branch lines.",
GNR Stirling 4-2-2,stirling_single,871,6,FEAT_TRAINS,locomotive,steam,RAIL,1870,,1916,,650,,18,28,2,140,151,2.46,692.6274945,40,30,5,50,0.07,85,136,,,15.4,12,,,,120x0x0,7,gnr_tender,"2,3,2,2,1,2",,,,,,,,1,,31,54,,,17,3.25,2.5,1.00,0,1.15,1.7,57,92,"$44,531","$7,475",,,,,,,,,4,,,,vct,Express,vct_Express,steam_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Steam,,"Patrick Stirling's ""singles"" (also known as ""eight footers"" due to the large driving wheels) were designed to haul heavy express trains.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}Patrick Stirling's ""singles"" (also known as ""eight footers"" due to the large driving wheels) were designed to haul heavy express trains.",
LNWR Improved Precedent Class,lnwr_improved_precedent,872,7,FEAT_TRAINS,locomotive,steam,RAIL,1887,,1934,,620,,17,24,2,150,166,1.981,621.6729384,34,30,,49,0.08,75,120,,,10,10,,,,102x0x0,6,lnwr_tender,"2,2,2,2,1,2",,,,,,,,1,,32,55,,,15,3.1,2.45,1.00,0,1.15,1.7,52,85,"$40,625","$6,906",,,,,,,,,7,,,,early,Express,early_Express,steam_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The Improved Precedent was built to replace the existing Precedent class locomotives, being classed as a ""renewal"" as it gave an advantageous tax situation. Some Precedents were also rebuilt as Improved Precedents, these having different-sized frames to the wholly new locomotives.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}The Improved Precedent was built to replace the existing Precedent class locomotives, being classed as a ""renewal"" as it gave an advantageous tax situation. Some Precedents were also rebuilt as Improved Precedents, these having different-sized frames to the wholly new locomotives.",
GNR C1 Small Boiler,gnr_c1,981,8,FEAT_TRAINS,locomotive,steam,RAIL,1898,,1946,,950,,18.75,24,2,170,197,2,1018.732244,60,30,5,68,0.08,90,144,,,15.4,12,,,,120x0x0,7,gnr_tender,"2,3,2,2,1,2",,,,,,,,1,,29,56,,,18,4.75,3.4,1.00,0,1.15,1.7,64,102,"$50,000","$8,288",,,,,,,,,3,,,,vct,Express,vct_Express,steam_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Steam,,"Henry Ivatt introduced the 4-4-2 Atlantic type to the UK with this design, nicknamed ""Klondyke"" after the peak of the Klondike Gold Rush of the previous year.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}Henry Ivatt introduced the 4-4-2 Atlantic type to the UK with this design, nicknamed ""Klondyke"" after the peak of the Klondike Gold Rush of the previous year.",
"GWR 3001 ""Achilles""",gwr_achilles,180,9,,na,steam,RAIL,1891,,1915,,800,,,,,,,,,46,41,,75,0.09,80,128,,,11,11,,,0,102x0x0,6,gwr_tender,"2,2,2,2,1,2",,,,,,,,,,24,32,,,16,4,3.75,1.00,0,1.15,1.7,59,95,"$46,094","$7,719",,,,,,,,,5,,,,vct,Express,vct_Express,steam_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},{BLACK}Powered by: {GOLD}Steam,,William Dean's 3001 class was the last of the GWR's 2-2-2 singles. They were rebuilt early on with a 4-2-2 layout to prevent derailments caused by the heavy front axle load.,,{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}William Dean's 3001 class was the last of the GWR's 2-2-2 singles. They were rebuilt early on with a 4-2-2 layout to prevent derailments caused by the heavy front axle load.,
"LSWR F9 ""Bug""",lswr_f9,991,10,FEAT_TRAINS,locomotive,steam,RAIL,1899,,1933,,180,,11.5,18,2,175,129,1.7,193.380264,38,,5,24,0.06,50,80,,,10.9,12,,,12,120x0x0,7,,"2,3,2",,,,,,,,1,,26,42,-14,-4,10,0.9,1.2,1.00,0.4,1.15,1.7,31,49,"$24,219","$3,981",,,,,,,,,4,,Passengers,PASS,vct,Cheap,vct_Cheap,steam_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The F9 was Dugald Drummond's personal locomotive, allowing him to travel across the LSWR for inspections. After Drummond it only saw occasional use at Southampton Docks.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}The F9 was Dugald Drummond's personal locomotive, allowing him to travel across the LSWR for inspections. After Drummond it only saw occasional use at Southampton Docks.",
Hawthorn Leslie 0-4-0ST,hawthorn_leslie_st,992,11,,na,steam,RAIL,1899,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0x0x0,0,,na,,,,,,,,,,30,,,,0,0,0,1.00,0,1.15,1.7,9,30,"$7,031","$2,438",,,,,,,,,8,,,,vct,,vct_,steam_RAIL,,{BLACK}Powered by: {GOLD}Steam,,,,{BLACK}Powered by: {GOLD}Steam {}{SILVER},
"GER Class A55 ""Decapod""",ger_decapod,1021,12,FEAT_TRAINS,locomotive,steam,RAIL,1902,,1924,,1000,,18.5,24,3,200,112,1.37,993.5924021,81,,5,173,0.21,35,56,,,12,12,,,,120x0x0,7,,"2,3,2",,,,,,,,1,,18,30,4,,7,5,8.65,1.00,0,1.15,1.7,52,89,"$40,625","$7,231",,,,,,,,,3,,,,edw,Express,edw_Express,steam_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},{BLACK}Powered by: {GOLD}Steam,,"GER's prototype Decapod was built to outperform low speed acceleration of electric locomotives, to prevent a rival electric railway being approved by Parliament.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}GER's prototype Decapod was built to outperform low speed acceleration of electric locomotives, to prevent a rival electric railway being approved by Parliament.",
"GWR 3700 ""City"" Class",gwr_3700_class,,-1,FEAT_TRAINS,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,edw,Express,edw_Express,_,,,,,,{SILVER},
"GWR ""Great Bear""",gwr_great_bear,1081,14,FEAT_TRAINS,locomotive,steam,RAIL,1908,,1953,,1975,,15,26,4,225,208,1.37,1971.269492,99,46,,124,0.09,65,104,,,23,14,,,,136x0x0,8,gwr_tender,"2,4,2,2,1,2",,,,,,,,1,,26,53,10,10,13,9.875,6.2,0.99,0,1.15,1.7,80,119,"$62,500","$9,669",,,,,,,,,2,,,,edw,Express,edw_Express,steam_RAIL,{BLACK}Length: {GOLD}0.9 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The Great Bear was a single locomotive, the first 4-6-2 ""Pacific"" type built in the UK, which served as the GWR's flagship until 1922 despite disappointing performance and low route availability.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.9 tiles{}{SILVER}The Great Bear was a single locomotive, the first 4-6-2 ""Pacific"" type built in the UK, which served as the GWR's flagship until 1922 despite disappointing performance and low route availability.",
LNWR Claughton Class,lnwr_claughton,1131,15,FEAT_TRAINS,locomotive,steam,RAIL,1913,,1949,,1600,,15.75,26,4,175,177,2.05,1442.485882,79,35,5,120,0.11,83,133,,,12,12,,,,120x0x0,7,lnwr_tender,"2,3,2,2,1,2",,,,,,,,1,,26,44,3,,16.6,8,6,0.98,0,1.15,1.7,72,116,"$56,250","$9,425",,,,,,,,,3,,,,edw,Express,edw_Express,steam_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The Claughton Class, named after the LNWR's chairman at the time, was unfortunately compromised by the Crewe works being unable to build a large boiler.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The Claughton Class, named after the LNWR's chairman at the time, was unfortunately compromised by the Crewe works being unable to build a large boiler.",
GCR Robinson 9P,gcr_9p,1171,16,FEAT_TRAINS,locomotive,steam,RAIL,1917,,1949,,1650,,16,26,4,180,191,2.06,1652.250662,86,35,5,112,0.09,90,144,,,12,12,,,,120x0x0,7,lner_tender,"2,3,2,2,1,2",,,,,,,,1,,27,40,7,4,18,8.25,5.6,0.98,0,1.15,1.7,79,123,"$61,719","$9,994",,,,,,,,,3,,,,edw,Express,edw_Express,steam_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Steam,,Robinson's 9P was a four-cylinder express locotive introduced toward the end of his time at the GCR. Early versions suffered from high coal consumption due to narrow steam passages.,,{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}Robinson's 9P was a four-cylinder express locotive introduced toward the end of his time at the GCR. Early versions suffered from high coal consumption due to narrow steam passages.,
GCR Robinson 9Q,gcr_9q,1211,17,FEAT_TRAINS,locomotive,steam,RAIL,1921,,1950,,1650,,16,26,4,180,165,1.72,1429.175476,94,35,5,133,0.10,65,104,,,12,12,,,,120x0x0,7,lner_tender,"2,3,2,2,1,2",,,,,,,,1,,26,37,14,11,13,8.25,6.65,0.97,0,1.15,1.7,77,117,"$60,156","$9,506",,,,,,,,,3,,,,edw,Express,edw_Express,steam_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The 9Q is a freight adaptation of the 9P, which had an exceptional turn of speed for a high tractive effort engine. It earnt the name ""Black Pig"" for its heavy coal consumption.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The 9Q is a freight adaptation of the 9P, which had an exceptional turn of speed for a high tractive effort engine. It earnt the name ""Black Pig"" for its heavy coal consumption.",
LNER U1,lner_u1,1213,18,FEAT_TRAINS,multiple_unit,steam,RAIL,1925,,1955,3,2500,,18.5,26,6,190,139,1.422,2533.316252,181,,5,324,0.18,45,72,,,12,12,,,,120x0x0,7,,"2,3,2",,,,"lner_u1,lner_u1_mid,lner_u1_rear",,"1,1,1",,"1,0,1",,24,38,,,9,12.5,16.2,0.97,0,1.15,1.275,64,132,"$50,000","$10,725",,,1,,,,"23,26",,5,,,,big4,Freight,big4_Freight,steam_RAIL,{BLACK}Length: {GOLD}1.4 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The largest British steam locomotive ever built, the one-off U1 was designed by Sir Nigel Gresley as a banking engine for the Woodhead line. Although powerful it struggled to find a use after the Woodhead line was electrified, being scrapped in 1955.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}1.4 tiles{}{SILVER}The largest British steam locomotive ever built, the one-off U1 was designed by Sir Nigel Gresley as a banking engine for the Woodhead line. Although powerful it struggled to find a use after the Woodhead line was electrified, being scrapped in 1955.",
